ID,u0,u1
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
4134,0,0
4137,0,0
4140,0,0
4143,0,0
4146,0,0
4149,0,0
4152,0,0
4155,0,0
4158,0,0
4161,0,0
4164,0,0
4167,0,0
4170,0,0
4173,0,0
4176,0,0
4179,0,0
4182,0,0
4185,0,0
4188,0,0
4191,0,0
4194,0,0
4197,0,0
4200,0,0
4203,0,0
4206,0,0
4209,0,0
4212,0,0
4215,0,0
4218,0,0
4221,0,0
4224,0,0
4227,0,0
4230,0,0
4233,0,0
4236,0,0
4239,0,0
4242,0,0
4245,0,0
4248,0,0
4251,0,0
4254,0,0
4257,0,0
4260,0,0
4263,0,0
4266,0,0
4269,0,0
4272,0,0
4275,0,0
4278,0,0
4281,0,0
