ID,u0,u1
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
10254,0,0
10257,0,0
10260,0,0
10263,0,0
10266,0,0
10269,0,0
10272,0,0
10275,0,0
10278,0,0
10281,0,0
10284,0,0
10287,0,0
10290,0,0
10293,0,0
10296,0,0
10299,0,0
10302,0,0
10305,0,0
10308,0,0
10311,0,0
10314,0,0
10317,0,0
10320,0,0
10323,0,0
10326,0,0
10329,0,0
10332,0,0
10335,0,0
10338,0,0
10341,0,0
10344,0,0
10347,0,0
10350,0,0
10353,0,0
10356,0,0
10359,0,0
10362,0,0
10365,0,0
10368,0,0
10371,0,0
10374,0,0
10377,0,0
10380,0,0
10383,0,0
10386,0,0
10389,0,0
10392,0,0
10395,0,0
10398,0,0
10401,0,0
