ID,u0,u1
0,0,0
101,0,0
202,0,0
303,0,0
404,0,0
505,0,0
606,0,0
707,0,0
808,0,0
909,0,0
1010,0,0
1111,0,0
1212,0,0
1313,0,0
1414,0,0
1515,0,0
1616,0,0
1717,0,0
1818,0,0
1919,0,0
2020,0,0
2121,0,0
2222,0,0
2323,0,0
2424,0,0
2525,0,0
2626,0,0
2727,0,0
2828,0,0
2929,0,0
3030,0,0
3131,0,0
3232,0,0
3333,0,0
3434,0,0
3535,0,0
3636,0,0
3737,0,0
3838,0,0
3939,0,0
4040,0,0
4141,0,0
4242,0,0
4343,0,0
4444,0,0
4545,0,0
4646,0,0
4747,0,0
4848,0,0
4949,0,0
5050,0,0
5151,0,0
5252,0,0
5353,0,0
5454,0,0
5555,0,0
5656,0,0
5757,0,0
5858,0,0
5959,0,0
6060,0,0
6161,0,0
6262,0,0
6363,0,0
6464,0,0
6565,0,0
6666,0,0
6767,0,0
6868,0,0
6969,0,0
7070,0,0
7171,0,0
7272,0,0
7373,0,0
7474,0,0
7575,0,0
7676,0,0
7777,0,0
7878,0,0
7979,0,0
8080,0,0
8181,0,0
8282,0,0
8383,0,0
8484,0,0
8585,0,0
8686,0,0
8787,0,0
8888,0,0
8989,0,0
9090,0,0
9191,0,0
9292,0,0
9393,0,0
9494,0,0
9595,0,0
9696,0,0
9797,0,0
9898,0,0
9999,0,0
10100,0,0
10201,0,0
10502,0,0
10703,0,0
10904,0,0
11105,0,0
11306,0,0
11507,0,0
11708,0,0
11909,0,0
12110,0,0
12311,0,0
12512,0,0
12713,0,0
12914,0,0
13115,0,0
13316,0,0
13517,0,0
13718,0,0
13919,0,0
14120,0,0
14321,0,0
14522,0,0
14723,0,0
14924,0,0
15125,0,0
15326,0,0
15527,0,0
15728,0,0
15929,0,0
16130,0,0
16331,0,0
16532,0,0
16733,0,0
16934,0,0
17135,0,0
17336,0,0
17537,0,0
17738,0,0
17939,0,0
18140,0,0
18341,0,0
18542,0,0
18743,0,0
18944,0,0
19145,0,0
19346,0,0
19547,0,0
19748,0,0
19949,0,0
20150,0,0
20351,0,0
20552,0,0
20753,0,0
20954,0,0
21155,0,0
21356,0,0
21557,0,0
21758,0,0
21959,0,0
22160,0,0
22361,0,0
22562,0,0
22763,0,0
22964,0,0
23165,0,0
23366,0,0
23567,0,0
23768,0,0
23969,0,0
24170,0,0
24371,0,0
24572,0,0
24773,0,0
24974,0,0
25175,0,0
25376,0,0
25577,0,0
25778,0,0
25979,0,0
26180,0,0
26381,0,0
26582,0,0
26783,0,0
26984,0,0
27185,0,0
27386,0,0
27587,0,0
27788,0,0
27989,0,0
28190,0,0
28391,0,0
28592,0,0
28793,0,0
28994,0,0
29195,0,0
29396,0,0
29597,0,0
29798,0,0
29999,0,0
30200,0,0
