ID,x0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
10100,0
10101,0
10102,0
10103,0
10104,0
10105,0
10106,0
10107,0
10108,0
10109,0
10110,0
10111,0
10112,0
10113,0
10114,0
10115,0
10116,0
10117,0
10118,0
10119,0
10120,0
10121,0
10122,0
10123,0
10124,0
10125,0
10126,0
10127,0
10128,0
10129,0
10130,0
10131,0
10132,0
10133,0
10134,0
10135,0
10136,0
10137,0
10138,0
10139,0
10140,0
10141,0
10142,0
10143,0
10144,0
10145,0
10146,0
10147,0
10148,0
10149,0
10150,0
10151,0
10152,0
10153,0
10154,0
10155,0
10156,0
10157,0
10158,0
10159,0
10160,0
10161,0
10162,0
10163,0
10164,0
10165,0
10166,0
10167,0
10168,0
10169,0
10170,0
10171,0
10172,0
10173,0
10174,0
10175,0
10176,0
10177,0
10178,0
10179,0
10180,0
10181,0
10182,0
10183,0
10184,0
10185,0
10186,0
10187,0
10188,0
10189,0
10190,0
10191,0
10192,0
10193,0
10194,0
10195,0
10196,0
10197,0
10198,0
10199,0
10200,0
9999,0
9898,0
9797,0
9696,0
9595,0
9494,0
9393,0
9292,0
9191,0
9090,0
8989,0
8888,0
8787,0
8686,0
8585,0
8484,0
8383,0
8282,0
8181,0
8080,0
7979,0
7878,0
7777,0
7676,0
7575,0
7474,0
7373,0
7272,0
7171,0
7070,0
6969,0
6868,0
6767,0
6666,0
6565,0
6464,0
6363,0
6262,0
6161,0
6060,0
5959,0
5858,0
5757,0
5656,0
5555,0
5454,0
5353,0
5252,0
5151,0
5050,0
4949,0
4848,0
4747,0
4646,0
4545,0
4444,0
4343,0
4242,0
4141,0
4040,0
3939,0
3838,0
3737,0
3636,0
3535,0
3434,0
3333,0
3232,0
3131,0
3030,0
2929,0
2828,0
2727,0
2626,0
2525,0
2424,0
2323,0
2222,0
2121,0
2020,0
1919,0
1818,0
1717,0
1616,0
1515,0
1414,0
1313,0
1212,0
1111,0
1010,0
909,0
808,0
707,0
606,0
505,0
404,0
303,0
202,0
101,0
10099,0
9998,0
9897,0
9796,0
9695,0
9594,0
9493,0
9392,0
9291,0
9190,0
9089,0
8988,0
8887,0
8786,0
8685,0
8584,0
8483,0
8382,0
8281,0
8180,0
8079,0
7978,0
7877,0
7776,0
7675,0
7574,0
7473,0
7372,0
7271,0
7170,0
7069,0
6968,0
6867,0
6766,0
6665,0
6564,0
6463,0
6362,0
6261,0
6160,0
6059,0
5958,0
5857,0
5756,0
5655,0
5554,0
5453,0
5352,0
5251,0
5150,0
5049,0
4948,0
4847,0
4746,0
4645,0
4544,0
4443,0
4342,0
4241,0
4140,0
4039,0
3938,0
3837,0
3736,0
3635,0
3534,0
3433,0
3332,0
3231,0
3130,0
3029,0
2928,0
2827,0
2726,0
2625,0
2524,0
2423,0
2322,0
2221,0
2120,0
2019,0
1918,0
1817,0
1716,0
1615,0
1514,0
1413,0
1312,0
1211,0
1110,0
1009,0
908,0
807,0
706,0
605,0
504,0
403,0
302,0
201,0
